,model_name,arch_dims,arch_interconnections,dfg_name,test_mode,mapping_is_valid,routing_penalty,unsuccessful_reason,mapping_time,mean_visited_rate,mean_num_visited_nodes,mean_mean_expanded_nodes,mean_max_tree_depths,num_simulations,used_PEs,num_backtrackings
37,smartmap,"(4, 4)",OH_TOR_DIAG,V_12_E_12,ZERO_SHOT,True,-0.119999998435378,,2.800729513168335,0.201433657062495,93.85714285714286,5.061402778933355,5.0,100,12,0
38,smartmap,"(4, 4)",OH_TOR_DIAG,balanced-pre,ZERO_SHOT,True,-0.1099999977648258,,1.1852624416351318,0.1792532394201741,88.33333333333333,5.716485934307717,6.0,100,11,0
39,smartmap,"(4, 4)",OH_TOR_DIAG,V_13_E_14,ZERO_SHOT,True,-0.1399999982118606,,3.1701407432556152,0.2223181343056272,97.125,4.75217468175389,5.625,100,13,0
40,smartmap,"(4, 4)",OH_TOR_DIAG,balanced-sum,ZERO_SHOT,True,-0.0599999991059303,,1.2055928707122805,0.1651577436502359,90.25,6.117659610788666,4.25,100,7,0
41,smartmap,"(4, 4)",OH_TOR_DIAG,V_15_E_15,ZERO_SHOT,False,-1.16,Invalid timing.,6.251506090164185,0.2050002150849198,91.33333333333331,4.958170235628214,5.2,100,16,1
42,smartmap,"(4, 4)",OH_TOR_DIAG,mvt,ZERO_SHOT,False,-1.16,Invalid timing.,5.752332925796509,0.5176128100393932,72.85714285714286,3.1946030854088616,5.357142857142857,100,15,2
43,smartmap,"(4, 4)",OH_TOR_DIAG,V_10_E_9,ZERO_SHOT,True,-0.0899999988824129,,2.144460439682007,0.170500789230919,91.33333333333331,5.883720930232557,4.5,100,10,0
44,mapzero,"(4, 4)",ONE_HOP,V_14_E_14,ZERO_SHOT,False,-1.19,At least one node was not mapped.,4.1717047691345215,0.6344887485599267,58.333333333333336,1.7096230879509915,5.222222222222222,150,16,1
45,mapzero,"(4, 4)",ONE_HOP,V_8_E_9,ZERO_SHOT,False,-1.18,At least one node was not mapped.,3.0626420974731445,0.4586019204106079,15.857142857142858,3.0720828191416425,4.428571428571429,150,16,1
46,mapzero,"(4, 4)",ONE_HOP,V_16_E_19,ZERO_SHOT,False,-1.16,At least one node was not mapped.,3.8771510124206543,0.4663568423510299,41.25,2.536259727141004,5.375,150,16,1
47,mapzero,"(4, 4)",ONE_HOP,V_9_E_10,ZERO_SHOT,False,-1.21,At least one node was not mapped.,3.822962284088135,0.5479089711960857,49.16666666666666,2.236219377976855,5.375,150,16,1
48,mapzero,"(4, 4)",ONE_HOP,V_11_E_11,ZERO_SHOT,False,-1.16,At least one node was not mapped.,3.989871025085449,0.5065895273021046,21.375,2.587274115621091,5.0,150,16,1
49,mapzero,"(4, 4)",ONE_HOP,doitgen,ZERO_SHOT,False,-1.15,At least one node was not mapped.,4.937531232833862,0.6559306733995969,35.8,1.8682387675466088,5.5,150,16,1
50,mapzero,"(4, 4)",ONE_HOP,V_7_E_7,ZERO_SHOT,True,-0.1599999964237213,,0.3272280693054199,0.1936507936507936,61.0,5.147540983606557,7.0,150,14,0
51,mapzero,"(4, 4)",ONE_HOP,cholesky_unroll,ZERO_SHOT,False,-1.18,At least one node was not mapped.,4.324688196182251,0.5099197038980754,30.11111111111111,2.318551587301587,5.222222222222222,150,16,4
52,mapzero,"(4, 4)",ONE_HOP,V_6_E_5,ZERO_SHOT,True,-0.1199999991804361,,0.0940718650817871,0.1235955056179775,22.0,8.045454545454545,6.0,150,10,0
53,mapzero,"(4, 4)",ONE_HOP,symm,ZERO_SHOT,False,-1.2,At least one node was not mapped.,5.708491563796997,0.6275672365251622,57.2,2.0408885734447724,6.090909090909091,150,16,1
54,mapzero,"(4, 4)",ONE_HOP,atax,ZERO_SHOT,False,-1.16,At least one node was not mapped.,4.290959119796753,0.4950953846031601,34.77777777777778,2.5676286676286675,5.666666666666667,150,16,1
55,mapzero,"(4, 4)",ONE_HOP,gemm,ZERO_SHOT,False,-1.14,At least one node was not mapped.,4.541307210922241,0.513585153655329,71.33333333333333,2.365479266877341,6.555555555555555,150,16,1
56,mapzero,"(4, 4)",ONE_HOP,cholesky,ZERO_SHOT,False,-1.16,Invalid timing.,2.717296600341797,0.3735618820177643,22.666666666666668,3.7486687798805294,3.5,150,15,6
57,mapzero,"(4, 4)",ONE_HOP,syrk,ZERO_SHOT,False,-1.16,At least one node was not mapped.,3.895237922668457,0.5551928956481686,35.625,2.062036475634732,5.25,150,16,1
58,mapzero,"(4, 4)",ONE_HOP,V_5_E_4,ZERO_SHOT,True,-0.0799999982118606,,0.0318686962127685,0.0878378378378378,13.0,11.307692307692308,5.0,150,8,0
59,mapzero,"(4, 4)",ONE_HOP,V_12_E_12,ZERO_SHOT,False,-1.17,At least one node was not mapped.,4.37321925163269,0.5603553305116566,73.88888888888889,2.027251562758809,6.444444444444445,150,16,1
60,mapzero,"(4, 4)",ONE_HOP,balanced-pre,ZERO_SHOT,False,-2.2,Invalid Routing.,5.489989519119263,0.5241534194036049,71.77777777777777,2.1765372684126394,6.0,150,16,6
61,mapzero,"(4, 4)",ONE_HOP,V_13_E_14,ZERO_SHOT,False,-1.17,At least one node was not mapped.,3.444132089614868,0.6283615543152943,49.57142857142857,1.797947611722872,5.714285714285714,150,16,1
62,mapzero,"(4, 4)",ONE_HOP,balanced-sum,ZERO_SHOT,True,-0.1099999975413084,,0.0497152805328369,0.0904522613065326,18.0,11.0,7.0,150,10,0
63,mapzero,"(4, 4)",ONE_HOP,V_15_E_15,ZERO_SHOT,False,-1.18,At least one node was not mapped.,3.968202829360962,0.5884676336312036,45.25,2.0373488984464503,5.5,150,16,1
64,mapzero,"(4, 4)",ONE_HOP,mvt,ZERO_SHOT,False,-1.15,At least one node was not mapped.,3.900730848312378,0.5108308615683818,81.125,2.424602890109706,6.875,150,16,1
65,mapzero,"(4, 4)",ONE_HOP,V_10_E_9,ZERO_SHOT,True,-0.1599999964237213,,0.9535932540893556,0.2708618893579692,89.5,3.694923730932733,9.5,150,16,0
66,smartmap,"(4, 4)",ONE_HOP,V_14_E_14,ZERO_SHOT,True,-0.1399999977648258,,3.1013312339782715,0.3713511691679645,134.5,2.756289718375811,7.5,150,14,0
67,smartmap,"(4, 4)",ONE_HOP,V_8_E_9,ZERO_SHOT,True,-0.0899999986588954,,2.336453437805176,0.5010701030897029,122.0,2.319642130845228,5.2,150,8,0
68,smartmap,"(4, 4)",ONE_HOP,V_16_E_19,ZERO_SHOT,False,-1.18,Invalid Routing.,8.479863405227661,0.7002737656577901,99.92857142857144,1.745637177620564,6.5,150,16,1
69,smartmap,"(4, 4)",ONE_HOP,V_9_E_10,ZERO_SHOT,True,-0.099999998435378,,2.465923309326172,0.4234854721151548,132.2,2.550007047930477,6.8,150,9,0
70,smartmap,"(4, 4)",ONE_HOP,V_11_E_11,ZERO_SHOT,True,-0.1099999982118606,,2.512521505355835,0.3454162971724803,144.4,2.905455157705691,8.0,150,11,0
71,smartmap,"(4, 4)",ONE_HOP,doitgen,ZERO_SHOT,False,-3.15,At least one node was not mapped.,8.623635530471802,0.6899383341941335,92.4,1.783152091106552,6.071428571428571,150,15,2
72,smartmap,"(4, 4)",ONE_HOP,V_7_E_7,ZERO_SHOT,True,-0.069999998435378,,1.013683795928955,0.3176866110990611,128.5,3.194739472697738,5.5,150,7,0
